initial_temp,ambient_temp,mass,specific_heat,heat_transfer_coeff,surface_area,heat_generation,sim_duration,final_temp,max_temp,min_temp,temp_change,avg_temp,avg_cooling_rate,time_constant,equilibrium_temp
469.556510987861,313.1424448624099,0.5024928701924342,342.31184237965846,50.591053151950675,0.0955970669359398,34.211943014900484,2368.8373323593196,320.21635359235654,469.556510987861,320.2163534449909,-149.34015739550443,322.6067334371017,-0.06304365240932958,37.9773520217927,320.2163535927526
531.2179715918311,284.42198456248417,3.1165830896812605,273.55126450780597,11.683832813592335,0.46840773300143096,0.9278292900586336,3131.9155749248816,284.5915197782419,531.2179715918311,284.5915197782419,-246.6264518135892,297.08224780770007,-0.0787462005004731,156.90959794212833,284.59151929607464
452.36135380324606,317.0774473097558,2.4234446072572364,637.0578349206146,94.7979816646919,0.06570950964577572,34.60146509878025,2283.4983512305193,322.64516551523513,452.36135380324606,322.64516551523513,-129.71618828801093,336.8134186645425,-0.056805904071754704,247.112046024946,322.63223124608066
519.0554041257316,282.91221445168594,2.709413067081738,678.069337363949,88.49034249825358,0.23236189076814498,10.76276189220461,1302.6550155471828,283.435759663145,519.0554041257316,283.435759663145,-235.61964446258656,299.8011840279257,-0.1808764727809489,88.75805717155153,283.43564968764883
362.41854366046545,316.9451816117586,3.508099176524749,472.167370048641,31.397657456993134,0.3354245260615182,9.088654532547457,3540.988858458824,317.8081750156854,362.41854366046545,317.80817498255675,-44.61036864478007,319.830625756659,-0.012598279866996317,156.11574125469764,317.80817513023544
595.3907120202819,306.0466928721577,3.3305687010001894,516.1813433510326,24.39593531886746,0.10756164164303908,30.88062608104849,2767.079318512087,321.8805265141966,595.3907120202819,321.8805265141966,-273.51018550608524,382.72607156180686,-0.09884436043313607,637.7036505588977,317.8149243308218
482.8293761240062,307.71440990065565,3.6319204498078723,230.7948464111743,39.600242184137294,0.18089089882598694,29.464741731068685,3459.176219230182,311.8276880395651,482.8293761240062,311.8276879187234,-171.00168808444113,317.773438791974,-0.049434222845835964,117.84768682748116,311.82768806441044
576.8852710561155,315.9772503521619,3.553814994709175,418.31982894852484,50.4415017186299,0.29780680737795917,13.421738194675942,184.73190404474727,357.0798799545326,576.8852710561155,357.0798799545326,-219.80539110158287,434.68996842052576,-1.1898615576892437,75.52166017059808,316.87073302496543
444.5913204199999,317.7378568239737,1.7142598849123478,243.18723493135616,26.657072305716046,0.019633824892329982,10.439270766359023,2235.653808601215,344.1410077584755,444.5913204199999,344.1410077584755,-100.45031266152438,373.51437277621994,-0.044931067714984584,716.8429045615119,337.68371831313226
420.036649231683,315.9106424205654,2.368414316565724,285.20303127558464,19.60210859301217,0.3021673513252102,19.82214839238294,2096.265000339764,319.2572172141781,420.036649231683,319.2572172141781,-100.77943201750486,324.8302569069062,-0.04807571180226282,113.42516033902531,319.257216126519
365.08392161491815,296.3437445255424,3.501511300115137,246.7831189560646,54.58784235305228,0.4583754263089161,8.963882032470178,865.4849546049101,296.7019883837328,365.08392161491815,296.7019883541895,-68.38193323118537,299.4940584639254,-0.07900996183394247,34.68877573566773,296.7019884855337
428.9596820552416,293.5799582089959,2.1523536706967055,779.1125757374456,67.37261515382046,0.3676463944930823,26.534924395542607,868.4287996203591,294.6516016969869,428.9596820552416,294.6516016969869,-134.3080803582547,305.23569956555474,-0.1546564098484166,67.87319275589981,294.65124102338586
534.4095468473616,305.03649400322735,2.7650217710796094,504.52667163481533,92.69368483438278,0.17542864496876368,46.836706501927026,1199.989115624189,307.91697125444585,534.4095468473616,307.91697125444585,-226.49257559291578,324.304252710709,-0.18874552497511857,86.57236104703568,307.91678052839393
363.30531227400854,316.53132439243365,3.8315981286394956,402.80943090670837,46.88584285859542,0.2332432118137108,24.72721118550832,275.2236336886249,325.1248414927166,363.30531227400854,325.1248414927166,-38.180470781291945,338.3828880648985,-0.13872526232426513,110.31007362269534,318.7924484836293
570.6735108439623,295.5368312172423,4.215133813363598,422.00037000113537,22.977940644665654,0.2249188658368043,44.32839534801125,910.9193267039133,323.0104027298917,570.6735108439623,323.0104027298917,-247.66310811407055,397.78943279175974,-0.27188259251257646,304.8567686564199,304.1140210541956
439.6039755077718,311.2540061359378,4.666386222826414,796.1089348184806,90.87604665348312,0.3750154745444739,48.58350693938336,2211.8083843714144,312.67958194481645,439.6039755077718,312.67958194481645,-126.92439356295534,319.0502134846624,-0.05738489575308607,110.81204330518108,312.6795817117764
590.4741492580694,302.6964942171129,4.5581640944541695,732.0524159171363,42.754799191728466,0.20678829944675525,40.070454225425934,2998.1192742965545,307.32925193009163,590.4741492580694,307.32925193009163,-283.14489732797773,343.0851147819193,-0.0944408382132868,378.5200686987634,307.22873978277784
527.2603601966896,305.0607078625223,1.953264597386474,859.3420890000542,94.25376745857037,0.2953221000377946,4.653108677251251,2819.1760826945883,305.2278740782035,527.2603601966896,305.227873946234,-222.03248611848608,310.19314402932514,-0.07875793480280448,62.14616615158411,305.2278740852642
472.8816276497358,297.9093209734763,3.660675311913022,460.7355293182699,20.538303411271023,0.08468430202045925,6.3086854037902835,435.6075908676873,410.8772558081308,472.8816276497358,410.8772558081308,-62.00437184160495,439.57076093035107,-0.14233997097731554,251.4127979356592,301.5365200580146
505.96493772775034,280.7378385542584,0.34446797886843633,441.02943193487215,43.923282790535296,0.032888585795827506,42.663650269285654,2365.358987878611,310.27154936982123,505.96493772775034,310.27154936982123,-195.6933883579291,319.1520382452751,-0.08273306054631399,104.284364195049,310.27154948892854
